entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Class Seven Science,course,National Curriculum and Textbook Board,organization,part of,"Class Seven Science National Curriculum and Textbook Board, Bangladesh Investigative Study  • ~~~~~~•ffl,f@tt,!GiJ<rn.~~~~~'6~~~ ~ ~ ~ ~ @3Ji1N,M<t> ~~~$TM I ~ooli ~ ~~ ~ ~~~~~l!l~~""<t>m~Clf~o~~~~cto~<rn_~ N,f@t'GIGiJ <rn_~ ~ ~ I • ~~~~""l1liflC-=1~ iSfiU""~~~~o~ct~ 'Gll~~fG et,ffi~~ ~~I~ Gll~~fG ~~~~~ '6~ l!l~~~ fN>C~~ ISMf ~o~~~~-1'-'ll~~fG~~~ I • ~ \!j<p ~ .j MC~lt>-=1)JQ.
"
National Curriculum 2022,literary work,National Curriculum and Textbook Board,government agency,publisher,"'5f~ <Plffi ~ W9fi'f, ~ ~ 8TT, ~H~C-=1 '6~ ~ (Wifi Router) ~ \!j~ ~ ~ 8li~fG ~H~-=1C<I> C""W'6m ~ ~c:>{;c~ ~~ ""<t>m ~ 1 • ~-~ '6 N,f@t'GIGiJ ~ ~ ~ ~ ~<ll 1~~1i~~ ~~ ~ ~ '6 ~ ~w~~I ~o~o~~')j'""<f~'6C9f""l'ffif~~-~~""1f¾IB~<t>~C""1~~ ~ N,f@t'GIGiJ ~ ~'ll GllC~liSt-=1 ~~I  Developed by the National Curriculum and Textbook Board as a textbook according to the National Curriculum 2022 for Class Seven from the academic year 2023 Science lnve.s¼i9a¼ive.
"
¼ud9 Class Seven,album,Album,musical term,instance of,"s¼ud9 Class Seven (Experimental Version) Written by Dr.
"
Muhammad Zafar Iqbal,human,Physician,occupation,occupation,"Muhammed Zafar Iqbal Dr.
"
Haseena Khan,human,Physician,occupation,occupation,"Haseena Khan Dr.
"
Mizanur Rahman Khan,human,Physician,occupation,occupation,"Mohammad Mizanur Rahman Khan Dr.
"
Mustak Ibn Ayub Rony Basak,literary work,Rony Basak,human,editor,"Mustak Ibn Ayub Rony Basak Edited by Dr.
"
Zafar Iqbal,human,Muhammad Ali,human,father,"Muhammed Zafar Iqbal Translated by AKM Azizul Haque Ramij Ahmad Muhammad Ali Md.
"
National Curriculum and Textbook Board,organization,Dhaka,city,headquarters location,"Sadekur Rahman National Curriculum and Textbook Board, Bangladesh  Published by National Curriculum and Textbook Board 69-70 Motijheel Commercial Area, Dhaka-1000 [All rights reserved by National Curriculum and Textbook Board, Bangladesh] Published: December 2022 Art Direction Monjur Ahmed Nasreen Sultana Mitu Illustration Sabyasachi Chakma Cover Illustration Sabyasachi Chakma Graphics Design Nasreen Sultana Mitu Md.
"
Mehedi Hossain,human,Physician,occupation,occupation,"Mehedi Hossain Dr.
"
Maryland,state of the United States,"Montgomery County, Maryland",county of Maryland,contains administrative territorial entity,"Md.
"
Bangladesh,sovereign state,Cabinet of Bangladesh,cabinet,executive body,"Iqbal Hossain For free distribution by the Government of the People’s Republic of Bangladesh Printed by:  In this ever-changing world, the concept of livelihood is altering every moment.
"
Skill,capability,Knowledge,nan,subclass of,"The advancement of technology, in accordance with knowledge and skill, has accelerated the pace of change.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"There is no alternative to adapting to this fast changing world.
"
Technology,academic discipline,History of technology,aspect of history,history of topic,"The reason is, the development of technology is at its zenith compared to any time in the human history.
"
Artificial intelligence,academic discipline,Fourth industrial revolution,industrial revolution,part of,"In the fourth industrial revolution era, the advancement of artificial intelligence has brought a drastic change in our employment and lifestyles and this will make the relationship among people more and more intimate.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"Varied employment opportunities will be created in near future which we cannot even predict at this moment.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"We need to take preparation right now so that we can adapt ourselves to that upcoming future.
"
Air pollution,pollution,Global warming,climate change,has cause,"Although a huge economic development has taken place throughout the world, the problems of climate change, air pollution, migrations and ethnic violence have become much more intense than before.
"
COVID 19,epidemic,Epidemic,disease outbreak,instance of,"The epidemics like COVID 19 has appeared and obstructed the normal lifestyle and economic growth of the world.
"
Challenge,conflict,Opportunity,pleasure,subclass of,"Different challenges and opportunities have been added to our daily life.
"
Sustainable Development Goals,work,Sustainable development,development,main subject,"Standing on the verge of these challenges and possibilities, implementation of sustainable and effective solutions is required for the transformation of our large population into a resource.
"
Skill,capability,Knowledge,nan,subclass of,"It entails global citizens with knowledge, skill, values, vision, positive attitude, sensitivity, capability to adapt, humanity and patriotism.
"
Developing country,geographic region,Developed country,country,opposite of,"Amidst all these, Bangladesh has graduated into a developing nation from the underdeveloped periphery and is continuously trying to achieve the desired goals in order to become a developed country by 2041.
"
Education,academic discipline,Education,academic discipline,subclass of,"Education is one of the pivotal instruments to attain the goals and there is no alternative to the modernization of our education system.
"
United States Navy,navy,World War II,historical period,conflict,"Developing an effective and updated curriculum has become crucial for this modernization.
"
National Curriculum and Textbook Board,government agency,Curriculum,Latin phrase,interested in,"Developing and revising the curriculum is a regular and vital activity of National Curriculum and Textbook Board.
"
Nova Scotia,province of Canada,"Halifax, Nova Scotia",city,capital,"The last revision of the curriculum was done in 2012.
"
Wolfgang Amadeus Mozart,human,The Magic Flute,dramatico-musical work,notable work,"Since then, a lot of time has passed.
"
Curriculum revision,learning,Learning,biological process,subclass of,"The necessity of curriculum revision and development has emerged.
"
Technical education,education,Education,academic discipline,subclass of,"For this purpose, various research and technical exercises were conducted under the supervision of NCTB during the year 2017 to 2019 to analyze the prevalent situation of education and assess the learning needs.
"
K–12,education,Education,academic discipline,subclass of,"Based on the researches and technical exercises, a competency-based incessant curriculum from K-12 has been developed to create a competent generation to survive in the new world situation.
"
General school,school,School,architectural structure,subclass of,"In the light of the competency based curriculum, the textbooks have been prepared for all streams (General, Madrasah and Vocational) of learners for grade VII.
"
Learning,biological process,Experience,quality,has effect,"The authentic experience driven contents of this textbook were developed in such a way that teaching learning becomes comprehensible and full of merriment.
"
World War II,historical period,Middle East,geographic region,location,"This will connect textbooks with various life related phenomenon and events that are constantly taking place around us.
"
Learning,biological process,Knowledge,nan,has effect,"We hope that learning will be profound and life-long now.
"
Caste,social stratification,Ethnic group,group of humans,facet of,"Issues like gender, ethnicity, religion, caste, the disadvantaged and students with special needs have been taken into special consideration while developing the textbook.
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"I would like to thank all who have put their best efforts in writing, editing, illustrating and publishing the textbook.
"
Error detection and correction,computing,Technical fault,error,subclass of,"If any one finds any errors or inconsistencies in this experimental version and has any suggestions for improving its quality, we kindly ask them to let us know.
"
Munich,city,City,human settlement,instance of,"Professor Md.
"
National Curriculum and Textbook Board,organization,Farhadul Islam,human,chairperson,"Farhadul Islam Chairman National Curriculum and Textbook Board, Bangladesh Preface  Index Page Chapter 1: Biodiversity .............................................................
"
Atom,composite particle,Molecule,molecular entity,subclass of,"01   Chapter 2: Molecules and Atoms ....................
"
Canada,sovereign state,Ontario,province of Canada,contains administrative territorial entity,"...................
"
Structure of matter,structure,Matter,material substance,part of,"11 Chapter 3: Structure of Matter .................................................
"
Cell biology,academic discipline,Science,academic discipline,subclass of,"22   Chapter 4: Cell Science .....................................
"
Wolfgang Amadeus Mozart,human,The Magic Flute,dramatico-musical work,notable work,"..
"
The World of Microorganisms,literary work,Microorganism,organism,main subject,"31 Chapter 5: The World of Microorganisms ..............................
"
Canada,sovereign state,Ontario,province of Canada,contains administrative territorial entity,"..................................
"
Heat,physical quantity,Temperature,scalar quantity,opposite of,"41   Chapter 6: Heat and Temperature ................
"
New Testament,written work,Bible,written work,part of,"54 Chapter 7: Changes around Us ...............................................
"
Electricity,physical phenomenon,Energy,physical quantity,subclass of,"63  Chapter 8: Work, Energy and Power ..............
"
Chapter 9,None,Index page,page,part of,"76  Index Page Chapter 9: Disasters Caused by Geo-natural Causes and Their Remedies...........................................................................................
"
Plate tectonics,theory,Earth,inner planet,part of,"84 Chapter 10: Earth Surface and Plate Tectonics Theory...
"
Earthquake and Bangladesh,earthquake,Earthquake,natural phenomenon,instance of,"93 Chapter 11: Earthquake and Bangladesh ......................................
"
Organism,anatomical entity,Energy,physical quantity,uses,"102  Chapter 12: Energy Flow in Organisms ......................
"
Skeleton,anatomical structure,Digestive system,nan,part of,"109 Chapter 13: Skeletal and Digestive System .................................
"
Earth,inner planet,Universe,universe,parent astronomical body,"129 Chapter 15: The Earth and the Universe .....................................
"
I,Greek letter,Greek alphabet,alphabet,part of,"135 ~ ~ I \  Students, how are you all?
"
Science,academic discipline,Investigative study,activity,instance of,"You must have got two books on Science! Along with this ‘Investigative Study’ book you are given another ‘Exercise Book’.
"
Exercise book,literary work,Exercise book,literary work,different from,"If you have a look, you will realize that there is a big difference between this book and the Exercise book.
"
Textbook,literary genre,Learning,biological process,subclass of,"Honestly speaking, the way you used to try to learn science by reading different chapters of textbooks, now this way of learning is completely changing.
"
New York City,city of the United States,London,city,twinned administrative body,"Throughout the year, you will go through several new experiences, solve some new problems.
"
