entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Sixth grade,educational year,Primary school,school,part of,"Prescribed by the National Curriculum and Textbook Board as a Textbook for class six from the academic year 2013 Science Class Six Written by Professor Dr.
"
Shahjahan Tapan,human,Professor,position,occupation,"Shahjahan Tapan Professor Dr.
"
Quazi Afroz Jahan ara,human,Shafiur Rahman,human,student of,"Shafiur Rahman Professor SM Haider Professor Quazi Afroz Jahan ara Professor Dr.
"
Hafizur Rahamn Mohammad Nure Alam Siddique,human,Sikhism,Islam,occupation,"SM Hafizur Rahamn Mohammad Nure Alam Siddique Dr.
"
Maryland,state of the United States,"Montgomery County, Maryland",county of Maryland,contains administrative territorial entity,"Md.
"
Abdul Khaleque Gul Anar Ahmed,human,Editing,academic discipline,occupation,"Abdul Khaleque Gul Anar Ahmed Edited by Professor Dr.
"
Azizur Rahman,human,Professor,position,occupation,"Azizur Rahman Translated by Professor A.
"
Shamsur Rahman Shelu,human,Madhhab,profession,occupation,"T.M Shamsur Rahman Shelu MD.
"
National Curriculum and Textbook Board,organization,Dhaka,city,headquarters location,"Zulfeqar Haider Gui Anar Ahmed NATIONAL CURRICULUM & TEXTBOOK BOARD, BANGLADESH  Published by National Curriculum and Textbook Board 69-70, Motijheel Commercial Area, Dhaka [All rights reserved by the publisher] First Publication Revised Edition Reprint Design December, 2012 November, 2014 , 2019 National Curriculum and Textbook Board, Bangladesh For free distribution by the Government of the People's Republic of Bangladesh Printed by:  Preface The aim of secondary education is to make the learners fit for entry into higher education by flourishing their latent talents and prospects with a view to building the nation with the spirit of the Language Movement and the Liberation War.
"
Education,academic discipline,Social movement,group of humans,subclass of,"To make the learners skilled and competent citizens of the country based on the economic, social, cultural and environmental settings is also an important issue of secondary education.
"
Humanism,social movement,Morality,ethical concept,subclass of,"The textbooks of secondary level have been written and compiled according to the revised curriculum 2012 in accordance with the aims and objectives of National Education Policy-2010.Contents and presentations of the textbooks have been selected according to the moral and humanistic values of Bengali tradition and culture and the spirit of Liberation War 1971 ensuring equal dignity for all irrespective of caste and creed of different religions and sex.
"
Vision 2021,plan,Government of Hong Kong,government,creator,"The present government is committed to ensure the successful implementation of Vision 2021.
"
Prime Minister of Bangladesh,public office,Sheikh Hasina,human,officeholder,"Honorable Prime Minister, Government of the People's Republic of Bangladesh, Sheikh Hasina expressed her firm determination to make the country free from illiteracy and instructed the concerned authority to give free textbooks to every student of the country.
"
National Curriculum and Textbook Board,nonprofit organization,Textbook,literary genre,instance of,"National Curriculum and Textbook Board started to distribute textbooks free of cost since 2010 according to her instruction.
"
Natural history,aspect of history,Knowledge,nan,subclass of,"The objectives of Science education are to flourish the knowledge of natural phenomena by increasing observation power of learners so that they can earn the capacity to solve the various problems.
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"Side by side the students will become more and more interested in different elements of environmental aspects.
"
Theory,concept,Science,academic discipline,part of,"To make the textbook easy and joyful to the learners along with theoretical matters of science, some activities for 'Learning by doing' have been included.
"
