Entity,Images
Book cover,"['https://upload.wikimedia.org/wikipedia/commons/2/27/Andrzej_R_Skowro%C5%84ski_-_Ob.6.III.713_0002.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bc/Hanna_book_cover.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Ivory_cover_of_the_Lorsch_Gospels%2C_c._810%2C_Carolingian%2C_Victoria_and_Albert_Museum.jpg']"
National Council of Educational Research and Training,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Diploma_icon.png', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/NCERT.jpg']"
Bookish learning,[]
Syllabi,[]
Rote learning,"['https://upload.wikimedia.org/wikipedia/commons/c/c8/Anki_flashcard_question_and_answer_math.gif', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Psi2.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Socrates.png', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg']"
National Policy on Education,[]
Principal (education),[]
New knowledge,[]
Textbook,"['https://upload.wikimedia.org/wikipedia/commons/3/3e/Afghan_textbooks_in_Pashto.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Participant,[]
Mode of functioning,[]
Day,"['https://upload.wikimedia.org/wikipedia/commons/c/c9/Adolf_Stademann_Flusslandschaft_im_Mondschein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/63/Aleutian_Islands_with_180th_meridian_and_International_Date_Line_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Decimal_Clock_face_by_Pierre_Daniel_Destigny_1798-1805.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/EpicEarth-Globespin-tilt-23.4.gif']"
Education,"['https://upload.wikimedia.org/wikipedia/commons/c/c2/2013._%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA_336.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Calhan_High_School_Senior_Classroom_by_David_Shankbone.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/Children_computing_by_David_Shankbone.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Wonderment,[]
T raining NCER T appr eciates,[]
Rathnasr ee,[]
Ganisation,[]
Mrinal Miri,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Graduation_hat.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/Scientist.svg']"
Rajiv Gandhi,"['https://upload.wikimedia.org/wikipedia/commons/0/0d/Bajaj-Polar-3.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Emblem_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg']"
NCER T,[]
Mathematics,"['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Bakhshali_numerals_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Cauchy_sequence_illustration.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Astrophysics,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/He1523a.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/NIEdot362.jpg']"
National Council for the Indian Railways,[]
Lahiry Professor,[]
University of Delhi,[]
National Cancer Research Organisation,[]
Sri Venkateswara College,"['https://upload.wikimedia.org/wikipedia/commons/f/f7/Celeb_Show_at_Nexus_2012%2C_Sri_Venkateswara_College%2C_Feb_2012.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/59/Delhiuni.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/82/Sri_Venkateswara_College_Main_Building%2C_Jun_2011.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Text_document_with_red_question_mark.svg']"
Indira Gandhi National Open University,"['https://upload.wikimedia.org/wikipedia/commons/d/dc/Flag_of_Delhi_Capital_Territory.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/IGNOUGATE.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Manipur University,"['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/The_Prime_Minister%2C_Shri_Narendra_Modi_at_the_inauguration_of_the_105th_session_of_Indian_Science_Congress%2C_at_Manipur_University%2C_in_Imphal.jpg']"
India,"['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
Sunita Malhotra,[]
National Council for Research in Education,[]
National Council of Educational Resear ch and T raining NCER T,[]
Ramjas School,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
India,"['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
Shukhvir Singh,[]
Vinod Raina,"['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/Vinod_Raina.jpg']"
Amitabha Mukherjee,[]
Delhi,"['https://upload.wikimedia.org/wikipedia/commons/9/93/Anglo_Arabic_School%27s_Hostel_earlier_known_as_Ghaziuddin_Khan_Madrasa.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Arvind_Kejriwal_smiling_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6e/Basant_Celebrations_at_Dargah.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Birla_Mandir_Delhi.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Building_7_jamia.JPG']"
Pramila T. Anwar,[]
Srivastava,"['https://upload.wikimedia.org/wikipedia/commons/1/1b/Semi-protection-shackle.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg']"
Arvind Kumar,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Mumbai,"['https://upload.wikimedia.org/wikipedia/commons/3/39/..Maharashtra_Flag%28INDIA%29.png', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/1st_INC1885.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/AC-EMU-Mumbai.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/AMH-6748-NA_Two_views_of_the_English_fort_in_Bombay.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Bandra_Worli_Sea-Link_%28cropped%29.jpg']"
Professor M,[]
Chandra Head,[]
Shveta Uppal,[]
Satish Kumar Mishra,[]
NCER T,[]
Paheli,[]
Q&A,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Quezon,"['https://upload.wikimedia.org/wikipedia/commons/2/20/Alibijaban_Island%2C_San_Andres%2C_Quezon_Province%2C_Philippines_%285%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/Angelina_Tan%2C_Governor_of_Quezon_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Cagbalete_Island1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/85/Famy-Real-Infanta_Road_segment%2C_Real%2C_Quezon.jpg']"
