entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Organism,anatomical entity,Food,disposable product,uses,"1Nutrition in Plants I n Class VI you learnt that food is essential for all living organisms.
"
Carbohydrate,structural class of chemical compounds,Food,disposable product,subclass of,"You also learnt that carbohydrates, proteins, fats, vitamins and minerals are components of food.
"
Nutrient,chemical substance,Food,disposable product,part of,"These components of food are called nutrients and are necessary for our body.
"
Organism,anatomical entity,Food,disposable product,uses,"All living organisms require food.
"
Plant,taxon,Food,disposable product,this taxon is source of,"Plants can synthesise food for themselves  but animals including humans cannot.
"
Eating plant,activity,Plant,taxon,uses,"They get it from plants or animals that eat plants.
"
Plant,taxon,Animal,taxon,subclass of,"Thus, humans and animals are directly or indirectly dependent on plants.
"
Plant,taxon,Organism,anatomical entity,subclass of,"1.1 MODE OF NUTRITION IN PLANTS Plants are the only organisms that can prepare food for themselves by using water, carbon dioxide and minerals.
"
Raw material,raw material,Raw material,chemical substance,subclass of,"The raw materials are present in their surroundings.
"
Organism,anatomical entity,Energy,physical quantity,uses,"The nutrients enable living organisms to build their bodies, to grow, to repair damaged parts of their bodies and provide the energy to carry out life processes.
"
Nutrition,science,Food,disposable product,facet of,"Nutrition is the mode of taking food by an organism and its utilisation by the body.
"
Autotrophic nutrition,nutrition,Nutrition,science,subclass of,"The mode of nutrition in which organisms make food themselves from simple substances is called autotrophic (auto = self; trophos = nourishment) nutrition.
"
Autotroph,plant,Plant,taxon,subclass of,"Therefore, plants are called autotrophs.
"
Animal,taxon,Organism,anatomical entity,subclass of,"Animals and most other organisms take in food prepared by plants.
"
Heterotroph,organism,Organism,anatomical entity,subclass of,"They are called heterotrophs (heteros = other).
"
Plant,taxon,Food,disposable product,this taxon is source of,"Boojho wants to know how plants prepare their own food.
"
Plant,taxon,Food,disposable product,this taxon is source of,"Now we may ask where the food factories of plants are located: whether food is made in all parts of a plant or only in certain parts?
"
Raw material,raw material,Plant,taxon,subclass of,"How do plants obtain the raw materials from the surroundings?
"
Factory,facility,Plant,farm,part of,"How do they transport them to the food factories of plants?
"
Plant,taxon,Leaf,plant organ,this taxon is source of,"1.2 PHOTOSYNTHESIS — FOOD MAKING PROCESS IN PLANTS Leaves are the food factories of plants.
"
Leaf,plant organ,Plant,taxon,part of,"Therefore, all the raw materials must reach the leaf.
"
Root,plant organ,Leaf,plant organ,part of,"Water and minerals present in the soil are absorbed by the roots and transported to the leaves.
"
Carbon dioxide from air,None,Carbon dioxide,None,has parts of the class,"Carbon dioxide from air is taken in Paheli wants to know why our body cannot make food from carbon dioxide, water and minerals like plants do.
"
Leaf,plant organ,Plant,taxon,part of,"Rationalised 2023-24  SCIENCE 2 Paheli wants to know what is so special about the leaves that they can synthesise food but  other parts of the plant cannot.
"
Leaf cell,cell type,Leaf,plant organ,part of,"Cells through the tiny pores present on the surface of leaves.
"
Guard cell,cell type,Pore,cellular component,subclass of,"These pores are surrounded by ‘guard cells’.
"
Stomata,anatomical structure,Pore,anatomical structure,part of,"Such pores are called stomata [Fig. 1.2 (c)].
"
Root,plant organ,Branch,plant structure,part of,"Water and minerals are transported to the leaves by the vessels which run like pipes throughout the root, the stem, the branches and the leaves.
"
Leaf movement,motion,Leaf,plant organ,part of,"They form a continuous path or passage for the nutrients to reach the leaf.
"
Vessel,ship,Ship,ship type,subclass of,"They are called vessels.
"
Transport of materials in plants,transport,Transport,motion,subclass of,"You will learn more about transport of materials in plants in Chapter 7.
"
Chlorophyll,structural class of chemical compounds,Pigment,colourant,subclass of,"The leaves have a green pigment called chlorophyll.
"
Leaf,plant organ,Sunlight,light,part of,"It helps leaves to capture the energy of the sunlight.
"
Carbon dioxide,None,Water,None,has parts of the class,"This energy is used to synthesise (prepare) food from carbon dioxide and water.
"
Photosynthesis,biological process,Food,disposable product,has effect,"Since the synthesis of food occurs in the presence of sunlight, it is called photosynthesis (Photo: light; synthesis : to combine).
"
Carbon dioxide,None,Water,None,has parts of the class,"So we find that chlorophyll, sunlight, carbon dioxide and water are necessary to carry out the process of photosynthesis.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"It is a unique process on the earth.
"
Food,disposable product,Solar energy,renewable energy,made from material,"The solar energy is captured by the leaves and stored in the plant in the form of food.
"
Energy,physical quantity,Life,phenomenon,part of,"Thus, sun is the ultimate source of energy for all living organisms.
"
Food,disposable product,Life on Earth,animal life,part of,"Can you imagine life on earth in the absence of photosynthesis! In the absence of photosynthesis there would not be any food.
"
Plant,taxon,Organism,anatomical entity,subclass of,"The survival of almost all living organisms directly or indirectly depends upon the food made by the plants.
"
Brick,artificial stone,Oxygen,chemical element,made from material,"Besides, oxygen which is essential for the survival You have seen that buildings are made of bricks.
"
Cytoplasm,cellular component,Cell nucleus,cellular component,part of,"The nucleus is surrounded by a jelly-like substance called cytoplasm.
"
Root,plant organ,Leaf,plant organ,part of,"Cell membrane Cytoplasm Nucleus Fig. 1.1 Cell Boojho wants to know how water and minerals absorbed by roots reach the leaves.
"
Branch,plant structure,Plant,taxon,part of,"Rationalised 2023-24  NUTRITION IN PLANTS 3 Besides leaves, photosynthesis also takes place in other green parts of the plant — in green stems and green branches.
"
Transpiration,biological process,Water loss,biological process,has effect,"The desert plants have scale- or spine-like leaves to reduce loss of water by transpiration.
"
Photosynthesis,biological process,Organism,anatomical entity,part of,"of all organisms is produced during photosynthesis.
"
Photosynthesis,biological process,Life,phenomenon,part of,"In the absence of photosynthesis, life would be impossible on the earth.
"
Carbon dioxide,None,Water,None,has parts of the class,"During photosynthesis, chlorophyll containing cells of leaves (Fig. 1.2), in the presence of sunlight, use carbon dioxide and water to synthesise carbohydrates (Fig.
"
1.1.3,"version, edition, or translation",The Lord of the Rings,book series,edition or translation of,"1.3).
"
Oxygen,chemical element,Chemical process,process,part of,"The process can be represented in an equation: During the process oxygen is released.
"
Photosynthesis,biological process,Leaf,plant organ,has effect,"The presence of starch in leaves indicates the occurrence of photosynthesis.
"
Starch,food ingredient,Carbohydrate,structural class of chemical compounds,subclass of,"Starch is also a carbohydrate.
"
Carbon dioxide,None,Oxygen,chemical element,has parts of the class,"    sunlight chlorophyll Carbon dioxide water Carbohydrate oxygen Boojho has observed some plants with deep red, violet or brown leaves.
"
Photosynthesis,biological process,Leaf,plant organ,has parts of the class,"He wants to know whether these leaves also carry out photosynthesis.
"
Potted plant,plant,Plant,taxon,subclass of,"Activity 1.1 Take two potted plants of the same kind.
"
Darkness,measured quantity,Sunlight,light,opposite of,"Keep one in the dark (or in a black box) for 72 hours and the other in sunlight.
"
Stoma,anatomical structure,Stomatome,anatomical structure,part of,"Fig. 1.2 (a) Leaf Guard cells (c) Stoma Stomatal opening (b) Section of a leaf Fig.
"
Carbon dioxide,None,Oxygen,chemical element,has parts of the class,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen.
"
Protein,group or class of chemical substances,Food,disposable product,subclass of,"These are used to synthesise other components of food such as proteins and fats.
"
Protein,group or class of chemical substances,Nitrogenous substance,structural class of chemical compounds,subclass of,"But proteins are nitrogenous substances which contain nitrogen.
"
Nitrogen,chemical element,Plant,taxon,part of,"From where do the plants obtain nitrogen?
"
Atmosphere of Earth,atmosphere,Nitrogen,chemical element,made from material,"Recall that nitrogen is present in abundance in gaseous form in the air.
"
Plant,taxon,Nitrogen,chemical element,uses,"However, plants cannot absorb nitrogen in this form.
"
Bacteria,taxon,Nitrogen,chemical element,this taxon is source of,"Soil has certain bacteria that convert gaseous nitrogen into a usable form and release it into the soil.
"
Plant,taxon,Water,None,uses,"These are absorbed by the plants along with water.
"
Nitrogen,chemical element,Fertilizer,chemical substance,part of,"Also, you might have seen farmers adding fertilisers rich in nitrogen to the soil.
"
Nitrogen,chemical element,Chemical element,second-order class,instance of,"In this way the plants fulfil their requirements of nitrogen along with the other constituents.
"
