entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Leaves,Plant part,Chlorophyll containing cells,Cell type,Located in,"During photosynthesis, chlorophyll containing cells of leaves (Fig. 1.2), in the presence of sunlight, use carbon dioxide and water to synthesise carbohydrates (Fig."
Photosynthesis,Biological process,Chlorophyll containing cells,Cell type,Occurs in,"During photosynthesis, chlorophyll containing cells of leaves (Fig. 1.2), in the presence of sunlight, use carbon dioxide and water to synthesise carbohydrates (Fig."
Sunlight,Physical entity,Photosynthesis,Biological process,Required for,"During photosynthesis, chlorophyll containing cells of leaves (Fig. 1.2), in the presence of sunlight, use carbon dioxide and water to synthesise carbohydrates (Fig."
Carbon dioxide,Chemical compound,Photosynthesis,Biological process,Reactant for,"During photosynthesis, chlorophyll containing cells of leaves (Fig. 1.2), in the presence of sunlight, use carbon dioxide and water to synthesise carbohydrates (Fig."
Water,Chemical compound,Photosynthesis,Biological process,Reactant for,"During photosynthesis, chlorophyll containing cells of leaves (Fig. 1.2), in the presence of sunlight, use carbon dioxide and water to synthesise carbohydrates (Fig."
Carbohydrates,Chemical compound,Photosynthesis,Biological process,Product of,"During photosynthesis, chlorophyll containing cells of leaves (Fig. 1.2), in the presence of sunlight, use carbon dioxide and water to synthesise carbohydrates (Fig."
Equation,Representation,Process,Biological process,Described by,The process can be represented in an equation: During the process oxygen is released.
Process,Biological process,Oxygen,Element,Released during,The process can be represented in an equation: During the process oxygen is released.
Leaves,Plant organ,Starch,Biopolymer,Presence indicates occurrence of,The presence of starch in leaves indicates the occurrence of photosynthesis.
Photosynthesis,Biological process,Leaves,Plant organ,Occurs in,The presence of starch in leaves indicates the occurrence of photosynthesis.
Plants,Organism,Leaves,Plant part,Have,"    sunlight chlorophyll Carbon dioxide water Carbohydrate oxygen Boojho has observed some plants with deep red, violet or brown leaves."
Deep red,Color,Leaves,Plant part,Color of,"    sunlight chlorophyll Carbon dioxide water Carbohydrate oxygen Boojho has observed some plants with deep red, violet or brown leaves."
Violet,Color,Leaves,Plant part,Color of,"    sunlight chlorophyll Carbon dioxide water Carbohydrate oxygen Boojho has observed some plants with deep red, violet or brown leaves."
Brown,Color,Leaves,Plant part,Color of,"    sunlight chlorophyll Carbon dioxide water Carbohydrate oxygen Boojho has observed some plants with deep red, violet or brown leaves."
Boojho,Person,Plants,Organism,Observed,"    sunlight chlorophyll Carbon dioxide water Carbohydrate oxygen Boojho has observed some plants with deep red, violet or brown leaves."
Leaves,Plant organ,Photosynthesis,Biological process,Carry out,He wants to know whether these leaves also carry out photosynthesis.
Leaf,Plant organ,Guard cells,Plant cell type,Located in,Fig. 1.2 (a) Leaf Guard cells (c) Stoma Stomatal opening (b) Section of a leaf Fig.
Guard cells,Plant cell type,Stoma,Plant organ,Surrounds,Fig. 1.2 (a) Leaf Guard cells (c) Stoma Stomatal opening (b) Section of a leaf Fig.
Stoma,Plant organ,Stomatal opening,Plant structure,Opening of,Fig. 1.2 (a) Leaf Guard cells (c) Stoma Stomatal opening (b) Section of a leaf Fig.
Leaf,Plant organ,Section,Plant structure,Part of,Fig. 1.2 (a) Leaf Guard cells (c) Stoma Stomatal opening (b) Section of a leaf Fig.
Photosynthesis,Biological process,Light energy,Energy type,Converted into,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
