Entity,Definition,Images
Healthy bones,Not found on Wikipedia,['Image not found']
List of food,Not found on Wikipedia,['Image not found']
Stainless steel spoon,Not found on Wikipedia,['Image not found']
Coin,"A coin is a small object, usually round and flat, used primarily as a medium of exchange or legal tender.","['https://upload.wikimedia.org/wikipedia/commons/1/12/10cts1879.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/88/1884_trade_dollar_rev.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/23/1924_East_African_1_cent_coin_reverse.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/2019_American_Silver_Eagle_and_1943_Walking_Liberty_Half_dollar_side_by_side.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/20franctrimetalrev.jpg']"
Organised nature,Not found on Wikipedia,['Image not found']
Galapagos Island,Not found on Wikipedia,['Image not found']
Coal mines,Not found on Wikipedia,['Image not found']
Melting points,Not found on Wikipedia,['Image not found']
30 Ω resistor,Not found on Wikipedia,['Image not found']
Type of fibers,Not found on Wikipedia,['Image not found']
Gaseous substances,Not found on Wikipedia,['Image not found']
Number of protons in an atom's nucleus,Not found on Wikipedia,['Image not found']
Zubeda,Not found on Wikipedia,['Image not found']
Overlapping,Not found on Wikipedia,['Image not found']
Same plant,Not found on Wikipedia,['Image not found']
Delhi University,"Delhi University (DU), formally the University of Delhi, is a public state university located in Delhi, India.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'Image not found', 'https://upload.wikimedia.org/wikipedia/commons/5/59/Delhiuni.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'Image not found']"
Stale food,Not found on Wikipedia,['Image not found']
Soft part of the body,Not found on Wikipedia,['Image not found']
Electric conductor,Not found on Wikipedia,['Image not found']
Line graphs,Not found on Wikipedia,['Image not found']
Ripe mango,Not found on Wikipedia,['Image not found']
Stop,Stop may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Vector_search_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Time taken for 20 oscillations,Not found on Wikipedia,['Image not found']
Donkey,"The domestic donkey is a hoofed mammal in the family Equidae, the same family as the horse.","['https://upload.wikimedia.org/wikipedia/commons/4/48/104_Donkeys_in_Tayrona_Park_Colombia.JPG', 'https://upload.wikimedia.org/wikipedia/commons/8/82/Baudet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Wapiti_from_Wagon_Trails.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Cyprian_Farriers_%281900%29_-_TIMEA.jpg']"
Whip-like structure,Not found on Wikipedia,['Image not found']
Challenging exercises,Not found on Wikipedia,['Image not found']
Iron pillar,Iron pillar may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Living,Living or The Living may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Doses,Not found on Wikipedia,['Image not found']
Electro Cardiogram,Not found on Wikipedia,['Image not found']
Formaldehyde,"Formaldehyde ( (listen) for-MAL-di-hide, US also  (listen) fər-) (systematic name methanal) is a naturally occurring organic compound with the formula CH2O and structure H−CHO. The pure compound is a pungent, colourless gas that polymerises spontaneously into paraformaldehyde (refer to section Forms below), hence it is stored as an aqueous solution (formalin), which is also used to store animal specimens.","['https://upload.wikimedia.org/wikipedia/commons/0/0f/Buckminsterfullerene-perspective-3D-balls.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f4/En-us-Formaldehyde.ogg']"
Mineral nutrients,Not found on Wikipedia,['Image not found']
Clocks,Not found on Wikipedia,['Image not found']
Speakers,Not found on Wikipedia,['Image not found']
Regular reflection,Not found on Wikipedia,['Image not found']
Steep slope,Not found on Wikipedia,['Image not found']
Hunting,"Hunting is the human practice of seeking, pursuing, capturing, or killing wildlife or feral animals.","['https://upload.wikimedia.org/wikipedia/commons/a/a5/%27Jachtgezellen%27_Rijksmuseum_SK-A-1023.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/21_Walrus_Hunt_1999.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/40SW.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c5/AM_Hunting_Lodge.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/A_Forest_at_Dawn_with_a_Deer_Hunt_MET_DT4532.jpg']"
South America,"South America is a continent entirely in the Western Hemisphere and mostly in the Southern Hemisphere, with a relatively small portion in the Northern Hemisphere at the northern tip of the continent.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/0200_years_Biblioteca_Nacional_in_Rio_de_Janeiro_city.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/2016_fachada_columnas_Teatro_Sol%C3%ADs_de_Montevideo.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0a/67_-_Carthag%C3%A8ne_-_D%C3%A9cembre_2008.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/A_Sa%C3%BAde_dos_Portos_%287110638275%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0a/Actinidia_KIWI_02.jpg']"
Ancient times,Not found on Wikipedia,['Image not found']
Fever measuring thermometers,Not found on Wikipedia,['Image not found']
Rubber strips,Not found on Wikipedia,['Image not found']
t2,"T2, T-2, T2, T2 may refer to:","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Catheter,"In medicine, a catheter (/ˈkæθətər/) is a thin tube made from medical grade materials serving a broad range of functions.","['https://upload.wikimedia.org/wikipedia/commons/a/a6/Catheter_dissasembled.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Pigtail_catheter_settings.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Roman_catheters.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Urinary_catheter.JPG']"
Water current,Not found on Wikipedia,['Image not found']
Surface beneath,Not found on Wikipedia,['Image not found']
10-6 Ω m,Not found on Wikipedia,['Image not found']
Finn Dorsett sheep,Not found on Wikipedia,['Image not found']
Contemplation,"In a religious context, the practice of contemplation seeks a direct awareness of the divine which transcends the intellect, often in accordance with prayer or meditation.","['https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Antoine-%C3%89mile_Plassan_-_Devotion_%28Contemplation%29_-_Walters_3745.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Diploma_icon.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Kampen_kapell_interi%C3%B6r.JPG', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Microscopes,Not found on Wikipedia,['Image not found']
Shoili,Not found on Wikipedia,['Image not found']
Day,A day is the time period of a full rotation of the Earth with respect to the Sun.,"['https://upload.wikimedia.org/wikipedia/commons/c/c9/Adolf_Stademann_Flusslandschaft_im_Mondschein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/63/Aleutian_Islands_with_180th_meridian_and_International_Date_Line_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Decimal_Clock_face_by_Pierre_Daniel_Destigny_1798-1805.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/EpicEarth-Globespin-tilt-23.4.gif']"
Drunkenness,Not found on Wikipedia,['Image not found']
Fig. 12.13,Not found on Wikipedia,['Image not found']
Siblings,Not found on Wikipedia,['Image not found']
5 kg,Not found on Wikipedia,['Image not found']
220 V electric supply line,Not found on Wikipedia,['Image not found']
Same mass number,Not found on Wikipedia,['Image not found']
Eye donors,Not found on Wikipedia,['Image not found']
Amit,"Amit is a male given name of Indian or Hebrew origin.In Hindi, Amit (Hindi: अमित, means ""infinite"" or ""boundless"", Bengali: অমিত) originates from the Sanskrit word amita (अमित:), amita (अमित:) essentially is the negation of mita (मित), which means ""to measure"".In Hebrew, Amit (Hebrew: עמית) means ""friend"", ""colleague"" or ""member of the organization"".",['https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg']
Indian teak,Not found on Wikipedia,['Image not found']
Building/tree,Not found on Wikipedia,['Image not found']
Iodine solution,Not found on Wikipedia,['Image not found']
H·,Not found on Wikipedia,['Image not found']
Cardboard lid,Not found on Wikipedia,['Image not found']
Economically important plants,Not found on Wikipedia,['Image not found']
Sharing,Sharing is the joint use of a resource or space.,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/215-365_-_This_Strawberrybananna_smoothie_is_better_than_the_Wildberry_%28-_%284760692715%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Green_sharing_%281%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Pathologists_looking_into_microscopes_%281%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/90/Pond_Sliders_at_Smithsonian_National_Zoological_Park_in_Washington.jpg']"
Net zero external unbalanced force,Not found on Wikipedia,['Image not found']
Series combination of three resistors,Not found on Wikipedia,['Image not found']
Research work,Not found on Wikipedia,['Image not found']
Productivity,Productivity is the efficiency of production of goods or services expressed by some measure.,"['https://upload.wikimedia.org/wikipedia/commons/d/dd/ABS-5206.0-AustralianNationalAccounts-NationalIncomeExpenditureProduct-KeyNationalAccountsAggregates-GdpPerHourWorked-Index-A2304192L.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Bills_and_coins.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Labour_productivity_levels_in_europe.svg']"
Skin dandruff,Not found on Wikipedia,['Image not found']
Lens stand,Not found on Wikipedia,['Image not found']
Plate 2,Not found on Wikipedia,['Image not found']
Paper clips,Not found on Wikipedia,['Image not found']
Boats,Not found on Wikipedia,['Image not found']
Foot steps,Not found on Wikipedia,['Image not found']
One end of the molecules,Not found on Wikipedia,['Image not found']
Higher water temperature,Not found on Wikipedia,['Image not found']
Complex motion,Not found on Wikipedia,['Image not found']
Human intestines,Not found on Wikipedia,['Image not found']
Jams,Jams or JAMS may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
One meter,Not found on Wikipedia,['Image not found']
Unwashed object,Not found on Wikipedia,['Image not found']
Magnetic field line,Not found on Wikipedia,['Image not found']
Maximum-minimum thermometer,Not found on Wikipedia,['Image not found']
Unit of matter,Not found on Wikipedia,['Image not found']
Underground stems,Not found on Wikipedia,['Image not found']
Nucleolus,The nucleolus (; PL nucleoli ) is the largest structure in the nucleus of eukaryotic cells.,"['https://upload.wikimedia.org/wikipedia/commons/1/11/Animal_Cell.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Diagram_human_cell_nucleus.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/NucleolusNCc.jpg']"
Right side of heart,Not found on Wikipedia,['Image not found']
Jungles,Not found on Wikipedia,['Image not found']
3. Manure,Not found on Wikipedia,['Image not found']
Baby,Not found on Wikipedia,['Image not found']
Small cylinder,Not found on Wikipedia,['Image not found']
Some objects,Not found on Wikipedia,['Image not found']
Onset of puberty,Not found on Wikipedia,['Image not found']
Electric supply company,Not found on Wikipedia,['Image not found']
Limiting supply of air,Not found on Wikipedia,['Image not found']
