entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Inherited,Trait,Variations,Phenomenon,Result of,What you have learnt � Variations arising during the process of reproduction can be inherited.
Sexually reproducing individuals,Organism type,Genes,Genetic material,Have,� Sexually reproducing individuals have two copies of genes for the same trait.
Genes,Genetic material,Trait,Characteristic,Code for,� Sexually reproducing individuals have two copies of genes for the same trait.
Dominant trait,Trait,Recessive trait,Trait,Related by expression,"If the copies are not identical, the trait that gets expressed is called the dominant trait and the other is called the recessive trait."
Traits,Characteristic,Individual,Organism,Possessed by,"� Traits in one individual may be inherited separately, giving rise to new combinations of traits in the offspring of sexual reproduction."
Inherited,Process,Traits,Characteristic,Can be,"� Traits in one individual may be inherited separately, giving rise to new combinations of traits in the offspring of sexual reproduction."
Separately,Adverb,Inherited,Process,Occur,"� Traits in one individual may be inherited separately, giving rise to new combinations of traits in the offspring of sexual reproduction."
New combinations,Trait combination,Offspring,Organism,Result in,"� Traits in one individual may be inherited separately, giving rise to new combinations of traits in the offspring of sexual reproduction."
Sexual reproduction,Reproduction type,Offspring,Organism,Result of,"� Traits in one individual may be inherited separately, giving rise to new combinations of traits in the offspring of sexual reproduction."
Sex,Biological trait,Species,Taxonomic rank,Determines,� Sex is determined by different factors in various species.
Paternal chromosome,Genetic material,Sex of child,Biological trait,Determines,"In human beings, the sex of the child depends on whether the paternal chromosome is X (for girls) or Y (for boys)."
X chromosome,Genetic material,Female,Biological trait,Contains,"In human beings, the sex of the child depends on whether the paternal chromosome is X (for girls) or Y (for boys)."
Y chromosome,Genetic material,Male,Biological trait,Contains,"In human beings, the sex of the child depends on whether the paternal chromosome is X (for girls) or Y (for boys)."
Tall pea plants,Plant type,Violet flowers,Flower type,Bearing,A Mendelian experiment consisted of breeding tall pea plants bearing violet flowers with short pea plants bearing white flowers.
Short pea plants,Plant type,White flowers,Flower type,Bearing,A Mendelian experiment consisted of breeding tall pea plants bearing violet flowers with short pea plants bearing white flowers.
Progeny,Organism,Violet flowers,Flower color,Bore,"The progeny all bore violet flowers, but almost half of them were short."
Progeny,Organism,Short,Physical trait,Almost half of them,"The progeny all bore violet flowers, but almost half of them were short."
Tall parent,Phenotype,TTWW,Genotype,Depicted as,This suggests that the genetic make-up of the tall parent can be depicted as (a) TTWW (b) TTww (c) TtWW (d) TtWw 2.
Tall parent,Phenotype,TTww,Genotype,Depicted as,This suggests that the genetic make-up of the tall parent can be depicted as (a) TTWW (b) TTww (c) TtWW (d) TtWw 2.
Tall parent,Phenotype,TtWW,Genotype,Depicted as,This suggests that the genetic make-up of the tall parent can be depicted as (a) TTWW (b) TTww (c) TtWW (d) TtWw 2.
Tall parent,Phenotype,TtWw,Genotype,Depicted as,This suggests that the genetic make-up of the tall parent can be depicted as (a) TTWW (b) TTww (c) TtWW (d) TtWw 2.
Children,Person,Light-coloured eyes,Physical trait,Have,A study found that children with light-coloured eyes are likely to have parents with light-coloured eyes.
Parents,Person,Light-coloured eyes,Physical trait,Have,A study found that children with light-coloured eyes are likely to have parents with light-coloured eyes.
Room,Physical space,Things,Objects,Become visible,"On lighting up the room, things become visible."
Sunlight,Physical entity,Objects,Physical entity,Helps to see,"During the day, the sunlight helps us to see objects."
Object,Physical object,Light,Electromagnetic radiation,Reflects,An object reflects light that falls on it.
Reflected light,Physical phenomenon,Eyes,Organ,Received by,"This reflected light, when received by our eyes, enables us to see things."
Light,Physical entity,Transparent medium,Physical entity,Transmitted through,We are able to see through a transparent medium as light is transmitted through it.
Mirrors,Object,Image formation,Phenomenon,Associated with,"There are a number of common wonderful phenomena associated with light such as image formation by mirrors, the twinkling of stars, the beautiful colours of a rainbow, bending of light by a medium and so on."
Stars,Celestial object,Twinkling,Phenomenon,Associated with,"There are a number of common wonderful phenomena associated with light such as image formation by mirrors, the twinkling of stars, the beautiful colours of a rainbow, bending of light by a medium and so on."
Light,Electromagnetic radiation,Rainbow,Phenomenon,Associated with,"There are a number of common wonderful phenomena associated with light such as image formation by mirrors, the twinkling of stars, the beautiful colours of a rainbow, bending of light by a medium and so on."
Light,Electromagnetic radiation,Bending,Phenomenon,Associated with,"There are a number of common wonderful phenomena associated with light such as image formation by mirrors, the twinkling of stars, the beautiful colours of a rainbow, bending of light by a medium and so on."
Medium,Substance,Bending,Phenomenon,Occurs in,"There are a number of common wonderful phenomena associated with light such as image formation by mirrors, the twinkling of stars, the beautiful colours of a rainbow, bending of light by a medium and so on."
Study,Research topic,Properties of light,Physical property,Related to,A study of the properties of light helps us to explore them.
Light,Physical phenomenon,Properties of light,Physical property,Explored by,A study of the properties of light helps us to explore them.
Us,Human,Study,Research topic,Conducts,A study of the properties of light helps us to explore them.
Light,Physical entity,Straight lines,Physical entity,Travels in,"By observing the common optical phenomena around us, we may conclude that light seems to travel in straight lines."
Small source of light,Object,Sharp shadow,Phenomenon,Casts,"The fact that a small source of light casts a sharp shadow of an opaque object points to this straight-line path of light, usually indicated as a ray of light."
Opaque object,Object type,Shadow,Phenomenon,Produces,"The fact that a small source of light casts a sharp shadow of an opaque object points to this straight-line path of light, usually indicated as a ray of light."
Straight-line path of light,Concept,Ray of light,Concept,Indicated as,"The fact that a small source of light casts a sharp shadow of an opaque object points to this straight-line path of light, usually indicated as a ray of light."
Opaque object,Physical object,Light,Electromagnetic radiation,Affected by,"More to Know! If an opaque object on the path of light becomes very small, light has a tendency to bend around it and not walk in a straight line – an effect known as the diffraction of light."
Light,Electromagnetic radiation,Opaque object,Physical object,Affected by,"More to Know! If an opaque object on the path of light becomes very small, light has a tendency to bend around it and not walk in a straight line – an effect known as the diffraction of light."
Diffraction of light,Physical phenomenon,Opaque object,Physical object,Causes,"More to Know! If an opaque object on the path of light becomes very small, light has a tendency to bend around it and not walk in a straight line – an effect known as the diffraction of light."
Optics,Branch of physics,Rays,Light phenomenon,Related to,Then the straight-line treatment of optics using rays fails.
Light,Physical entity,Wave,Physical entity,Thought of as,"To explain phenomena such as diffraction, light is thought of as a wave, the details of which you will study in higher classes."
Diffraction,Phenomenon,Light,Physical entity,Explains,"To explain phenomena such as diffraction, light is thought of as a wave, the details of which you will study in higher classes."
Higher classes,Academic level,Wave,Physical entity,Studied in,"To explain phenomena such as diffraction, light is thought of as a wave, the details of which you will study in higher classes."
Wave theory of light,Scientific theory,Interaction of light with matter,Physical phenomenon,Inadequate for treatment of,"Again, at the beginning of the 20th century, it became known that the wave theory of light often becomes inadequate for treatment of the interaction of light with matter, and light often behaves somewhat like a stream of particles."
Light,Particle,Interaction of light with matter,Physical phenomenon,Behaves somewhat like a stream of particles,"Again, at the beginning of the 20th century, it became known that the wave theory of light often becomes inadequate for treatment of the interaction of light with matter, and light often behaves somewhat like a stream of particles."
Light,Physical entity,Quantum theory of light,Scientific theory,Described by,This confusion about the true nature of light continued for some years till a modern quantum theory of light emerged in which light is neither a ‘wave’ nor a ‘particle’ – the new theory reconciles the particle properties of light with the wave nature.
