entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Agriculture,Practice,Crops,Plant,Cultivating,"Agriculture is the practice of cultivating crops and raising animals for food, fiber, and other products."
Agriculture,Practice,Animals,Animal,Raising,"Agriculture is the practice of cultivating crops and raising animals for food, fiber, and other products."
Crops,Plant,Food,Product,Produced for,"Agriculture is the practice of cultivating crops and raising animals for food, fiber, and other products."
Crops,Plant,Fiber,Product,Produced for,"Agriculture is the practice of cultivating crops and raising animals for food, fiber, and other products."
Animals,Animal,Food,Product,Produced for,"Agriculture is the practice of cultivating crops and raising animals for food, fiber, and other products."
Animals,Animal,Fiber,Product,Produced for,"Agriculture is the practice of cultivating crops and raising animals for food, fiber, and other products."
Other products,Product,Agriculture,Practice,Related to,"Agriculture is the practice of cultivating crops and raising animals for food, fiber, and other products."
Agriculture,Field of study,Soil,Environmental factor,Studied in relation to,"The science of agriculture involves the study of soil, water, climate, and other environmental factors that affect crop growth."
Agriculture,Field of study,Water,Environmental factor,Studied in relation to,"The science of agriculture involves the study of soil, water, climate, and other environmental factors that affect crop growth."
Agriculture,Field of study,Climate,Environmental factor,Studied in relation to,"The science of agriculture involves the study of soil, water, climate, and other environmental factors that affect crop growth."
Crop growth,Biological process,Soil,Environmental factor,Affected by,"The science of agriculture involves the study of soil, water, climate, and other environmental factors that affect crop growth."
Crop growth,Biological process,Water,Environmental factor,Affected by,"The science of agriculture involves the study of soil, water, climate, and other environmental factors that affect crop growth."
Crop growth,Biological process,Climate,Environmental factor,Affected by,"The science of agriculture involves the study of soil, water, climate, and other environmental factors that affect crop growth."
Modern agriculture,Industry,Technology,Concept,Relies heavily on,"Modern agriculture relies heavily on technology, including genetically modified crops, precision farming, and automated machinery."
Genetically modified crops,Crop type,Modern agriculture,Industry,Included in,"Modern agriculture relies heavily on technology, including genetically modified crops, precision farming, and automated machinery."
Precision farming,Farming technique,Modern agriculture,Industry,Included in,"Modern agriculture relies heavily on technology, including genetically modified crops, precision farming, and automated machinery."
